Taxes	Bedrooms	Baths	Quadrant	NW	price	size	lot
1360	3	2	NW	1	145000	1240	18000
1050	1	1	NW	1	68000	370	25000
1010	3	1.5	NW	1	115000	1130	25000
830	3	2	SW	0	69000	1120	17000
2150	3	2	NW	1	163000	1710	14000
1230	3	2	NW	1	69900	1010	8000
150	2	2	NW	1	50000	860	15300
1470	3	2	NW	1	137000	1420	18000
1850	3	2	NW	1	121300	1270	16000
320	3	2	NW	1	70000	1160	8000
630	3	2	NE	0	64500	1220	12000
1780	3	2	NW	1	167000	1690	30000
1630	3	2	NW	1	114600	1380	15500
1530	3	2	NW	1	103000	1590	16800
930	3	1	NW	1	101000	1050	16000
590	2	1	NW	1	50000	770	22100
1050	3	2	NE	0	85000	1410	12000
20	3	1	SE	0	22500	1060	3500
870	2	2	NW	1	90000	1300	17500
1320	3	2	NW	1	133000	1500	30000
1350	2	1	NW	1	90500	820	25700
2790	3	2.5	NE	0	260000	2130	25000
680	2	1	NE	0	142500	1170	22000
1840	3	2	NW	1	160000	1500	19000
3680	4	2	NW	1	240000	2790	20000
1660	3	1	NW	1	87000	1030	17500
1620	3	2	NW	1	118600	1250	20000
3100	3	2	NW	1	140000	1760	38000
2070	2	3	NW	1	148000	1550	14000
650	3	1.5	NE	0	65000	1450	12000
2260	4	2	NW	1	176000	2000	18000
1760	3	1	NE	0	86500	1350	14000
2750	3	2	NW	1	180000	1840	28000
2020	4	2	NW	1	179000	2510	25000
4900	3	3	NW	1	338000	3110	38000
1180	4	2	NW	1	130000	1760	30000
590	3	1.5	NW	1	77300	1120	14500
1600	2	1	NW	1	125000	1110	10000
1970	3	2	NW	1	100000	1360	25000
2060	3	1	SW	0	100000	1250	25000
1980	3	1	NW	1	100000	1250	25000
1510	3	2	NW	1	146500	1480	18000
1710	3	2	NW	1	144900	1520	20100
1590	3	2	NW	1	183000	2020	26000
1580	3	1.5	NE	0	77000	1220	12000
1510	2	2	NW	1	60000	1640	17500
1450	2	2	NW	1	127000	940	22000
970	3	2	NE	0	86000	1580	12000
1250	3	2.5	NE	0	95000	1270	12000
4020	4	2.5	NW	1	270500	2440	41000
700	4	1.5	NE	0	75000	1520	12000
820	2	1	NW	1	81000	980	13000
2050	4	2	SW	0	188000	2300	21600
710	3	2	NE	0	85000	1430	12500
1280	3	2	NW	1	137000	1380	18000
1800	3	1.5	NW	1	92900	1010	18000
20	3	1.5	NW	1	93000	1780	4000
800	3	2	NW	1	109300	1120	15500
1220	3	2	NW	1	131500	1900	25000
3360	4	3	NW	1	200000	2430	30000
210	3	2	NW	1	81900	1080	8000
380	2	1	NW	1	91200	1350	13000
1920	4	3	NW	1	124500	1720	12000
4350	3	3	NE	0	225000	4050	35000
1510	3	2	NW	1	136500	1500	18000
4290	4	2.5	NW	1	268000	2530	36000
1160	3	1.5	NE	0	70700	1020	9000
970	4	2.5	NE	0	70000	2070	10800
1400	3	2	NW	1	140000	1520	18500
790	2	2	NW	1	89900	1280	6000
1210	3	2	NW	1	137000	1620	18000
1550	3	2	SW	0	103000	1520	12000
2800	3	2	NW	1	183000	2030	23000
2560	3	2	NW	1	140000	1390	20100
1390	4	2	NW	1	160000	1880	22000
2820	4	2.5	NW	1	192000	2780	30000
2850	2	1	NW	1	130000	1340	27000
2230	2	2	NW	1	123000	940	22000
20	2	1	NW	1	21000	580	9000
1510	4	2	NE	0	85000	1410	12000
710	3	2	SW	0	69900	1150	4500
1540	3	2	NW	1	125000	1380	18000
1780	3	2	NW	1	162600	1470	20100
2920	2	2	NW	1	156900	1590	22000
1710	3	2	NW	1	105900	1200	15500
1880	3	2	SW	0	167500	1920	22000
1680	3	2	NW	1	151800	2150	29000
3690	5	3	NW	1	118300	2200	30000
900	2	2	NW	1	94300	860	15500
560	3	1	NE	0	93900	1230	12000
2040	4	2	NW	1	165000	1140	18200
4390	4	3	NW	1	285000	2650	36000
690	3	1	NW	1	45000	1060	8000
2100	3	2	NW	1	124900	1770	16000
2880	4	2	NW	1	147000	1860	35000
990	2	2	NW	1	176000	1060	27500
3030	3	2	SW	0	196500	1730	47400
1580	3	2	NW	1	132200	1370	18000
1770	3	2	NE	0	88400	1560	12000
1430	3	2	NW	1	127200	1340	18000
